Frame_Number,Timestamp_Sec,Face_Detected,Face_Confidence,Landmarks_Detected,Landmark_Count,Pose_Estimated,Yaw_Degrees,Pitch_Degrees,Roll_Degrees,Distance_Meters,Face_Area_Percent,Proximity_Status,Looking_At_Camera,Gaze_Sustained,Gaze_Duration_Sec,Detection_Method,Processing_FPS,Frame_Time_Ms,Classification,Notes
107,14.548,Yes,0.692,Yes,6,Yes,-38.63,178.14,-179.13,7.11,0.00,NONE,No,No,0.00,person_box_geometric,32.9,82.8,True_Positive,
108,14.675,Yes,0.668,Yes,6,Yes,-38.54,178.21,-179.17,7.11,0.00,NONE,No,No,0.00,person_box_geometric,31.1,83.5,True_Positive,
109,14.801,Yes,0.694,Yes,6,Yes,-29.81,178.90,-179.39,7.50,0.00,NONE,No,No,0.00,person_box_geometric,33.4,84.6,True_Positive,
110,14.919,Yes,0.691,Yes,6,Yes,-38.46,178.28,-179.20,7.11,0.00,NONE,No,No,0.00,person_box_geometric,49.3,86.2,False_Positive,
111,15.045,Yes,0.710,Yes,6,Yes,-46.73,179.34,-178.98,7.94,0.00,NONE,No,No,0.00,person_box_geometric,32.0,82.8,True_Positive,
112,15.170,Yes,0.721,Yes,6,Yes,-41.52,177.06,-178.75,7.94,0.00,NONE,No,No,0.00,person_box_geometric,33.3,83.4,True_Positive,
113,15.297,Yes,0.733,Yes,6,Yes,15.32,177.46,0.24,7.50,0.00,NONE,Yes,No,0.00,person_box_geometric,32.9,85.1,True_Positive,
114,15.424,Yes,0.741,Yes,6,Yes,-32.83,176.83,-178.45,7.50,0.00,NONE,No,No,0.00,person_box_geometric,32.7,84.7,True_Positive,
115,15.550,Yes,0.736,Yes,6,Yes,15.02,177.67,0.26,7.50,0.00,NONE,Yes,No,0.00,person_box_geometric,32.5,83.5,True_Positive,
116,15.677,Yes,0.738,Yes,6,Yes,-40.26,179.42,-178.35,7.50,0.00,NONE,No,No,0.00,person_box_geometric,32.5,84.0,True_Positive,
117,15.804,Yes,0.742,Yes,6,Yes,-29.08,178.67,-179.36,7.50,0.00,NONE,No,No,0.00,person_box_geometric,33.0,85.4,True_Positive,
118,15.931,Yes,0.724,Yes,6,Yes,-22.63,174.68,-178.92,1.80,0.00,NONE,No,No,0.00,person_box_geometric,32.5,85.2,True_Positive,
119,16.059,Yes,0.737,Yes,6,Yes,-17.07,175.05,-179.46,1.82,0.00,NONE,Yes,No,0.00,person_box_geometric,32.0,85.0,True_Positive,
120,16.186,Yes,0.747,Yes,6,Yes,-18.18,174.32,-179.19,1.82,0.00,NONE,Yes,No,0.13,person_box_geometric,31.0,82.5,True_Positive,
121,16.311,Yes,0.759,Yes,6,Yes,-23.07,175.29,-178.76,1.93,0.00,NONE,No,No,0.00,person_box_geometric,33.9,84.6,True_Positive,
122,16.440,Yes,0.779,Yes,6,Yes,-18.61,174.93,-179.22,1.93,0.00,NONE,Yes,No,0.00,person_box_geometric,30.8,84.5,True_Positive,
