Frame_Number,Timestamp_Sec,Face_Detected,Face_Confidence,Landmarks_Detected,Landmark_Count,Pose_Estimated,Yaw_Degrees,Pitch_Degrees,Roll_Degrees,Distance_Meters,Face_Area_Percent,Proximity_Status,Looking_At_Camera,Gaze_Sustained,Gaze_Duration_Sec,Detection_Method,Processing_FPS,Frame_Time_Ms,Classification,Notes
121,9.989,Yes,0.836,Yes,6,Yes,21.59,-170.63,2.82,1.85,0.00,NONE,No,No,0.00,face_yolo_mediapipe,36.3,35.7,True_Positive,
122,10.062,Yes,0.834,Yes,6,Yes,22.57,-171.62,2.82,1.88,0.00,NONE,No,No,0.00,face_yolo_mediapipe,35.9,35.8,True_Positive,
123,10.136,Yes,0.832,Yes,6,Yes,23.32,-171.00,3.02,1.85,0.00,NONE,No,No,0.00,face_yolo_mediapipe,35.7,35.7,True_Positive,
124,10.210,Yes,0.832,Yes,6,Yes,22.99,-170.56,3.49,1.85,0.00,NONE,No,No,0.00,face_yolo_mediapipe,35.4,35.7,True_Positive,
125,10.283,Yes,0.822,Yes,6,Yes,22.71,-169.44,3.48,1.82,0.00,NONE,No,No,0.00,face_yolo_mediapipe,35.4,35.4,True_Positive,
126,10.356,Yes,0.818,Yes,6,Yes,22.65,-169.84,3.95,1.80,0.00,NONE,No,No,0.00,face_yolo_mediapipe,35.4,34.9,True_Positive,
127,10.420,Yes,0.811,Yes,6,Yes,24.01,-170.63,4.26,1.80,0.00,NONE,No,No,0.00,face_yolo_mediapipe,56.3,35.7,False_Positive,
128,10.493,Yes,0.810,Yes,6,Yes,25.47,-169.82,4.99,1.80,0.00,NONE,No,No,0.00,face_yolo_mediapipe,35.0,35.0,True_Positive,
129,10.567,Yes,0.817,Yes,6,Yes,23.57,-169.77,4.54,1.76,0.00,NONE,No,No,0.00,face_yolo_mediapipe,35.2,35.9,True_Positive,
130,10.640,Yes,0.820,Yes,6,Yes,25.59,-171.60,4.66,1.78,0.00,NONE,No,No,0.00,face_yolo_mediapipe,35.5,35.2,True_Positive,
131,10.715,Yes,0.829,Yes,6,Yes,23.53,-169.78,4.69,1.75,0.00,NONE,No,No,0.00,face_yolo_mediapipe,34.9,35.5,True_Positive,
132,10.789,Yes,0.833,Yes,6,Yes,24.65,-169.57,5.28,1.75,0.00,NONE,No,No,0.00,face_yolo_mediapipe,34.3,35.8,True_Positive,
133,10.861,Yes,0.834,Yes,6,Yes,25.92,-168.92,5.62,1.74,0.00,NONE,No,No,0.00,face_yolo_mediapipe,36.0,34.8,True_Positive,
134,10.936,Yes,0.823,Yes,6,Yes,23.59,-168.11,5.31,1.70,0.00,NONE,No,No,0.00,face_yolo_mediapipe,34.8,35.8,True_Positive,
135,11.011,Yes,0.819,Yes,6,Yes,23.24,-168.92,5.05,1.70,0.00,NONE,No,No,0.00,face_yolo_mediapipe,34.7,35.6,True_Positive,
136,11.086,Yes,0.814,Yes,6,Yes,23.53,-166.77,5.65,1.69,0.00,NONE,No,No,0.00,face_yolo_mediapipe,34.8,36.3,True_Positive,
137,11.160,Yes,0.826,Yes,6,Yes,24.20,-164.82,5.40,1.69,0.00,NONE,No,No,0.00,face_yolo_mediapipe,34.5,35.5,True_Positive,
138,11.224,Yes,0.810,Yes,6,Yes,23.27,-165.94,5.41,1.68,0.00,NONE,No,No,0.00,face_yolo_mediapipe,54.9,35.8,False_Positive,
139,11.299,Yes,0.810,Yes,6,Yes,23.11,-166.74,4.80,1.67,0.00,NONE,No,No,0.00,face_yolo_mediapipe,33.9,35.6,True_Positive,
140,11.373,Yes,0.813,Yes,6,Yes,21.70,-166.51,3.95,1.66,0.00,NONE,No,No,0.00,face_yolo_mediapipe,34.3,34.4,True_Positive,
141,11.446,Yes,0.808,Yes,6,Yes,23.60,-164.53,5.04,1.66,0.00,NONE,No,No,0.00,face_yolo_mediapipe,34.7,34.1,True_Positive,
142,11.519,Yes,0.803,Yes,6,Yes,26.63,-164.50,5.01,1.67,0.00,NONE,No,No,0.00,face_yolo_mediapipe,36.0,35.6,True_Positive,
143,11.594,Yes,0.805,Yes,6,Yes,24.78,-164.90,4.77,1.64,0.00,NONE,No,No,0.00,face_yolo_mediapipe,34.1,36.4,True_Positive,
144,11.669,Yes,0.810,Yes,6,Yes,27.08,-166.01,5.54,1.67,0.00,NONE,No,No,0.00,face_yolo_mediapipe,35.1,35.9,True_Positive,
